--------------------------------------------------------------------------------------------------------------
[CMD] Listening on 127.0.0.1:5557

--------------------------------------------------------------------------------------------------------------
t=0.11s | view=populations | zeros=False
a1              L4_EXCITATORY               200     1.9351     0.0154
a1              L2_3_PYRAMIDAL              200     2.6805     0.0154
a1              L6_PYRAMIDAL                200     2.6812     0.0154
a1              INTERNEURONS                200     2.6820     0.0154
insula          L2_3_PYRAMIDAL              200     1.9354     0.0154
insula          L5_PYRAMIDAL                200     2.6796     0.0154
insula          INTERNEURONS                200     2.6853     0.0154
m1              L2_3_PYRAMIDAL              200     1.9338     0.0154
m1              L5_PYRAMIDAL                200     2.6788     0.0154
m1              INTERNEURONS                200     2.6855     0.0154
s1              L4_EXCITATORY               200     1.9343     0.0154
s1              L2_3_PYRAMIDAL              200     2.6823     0.0154
s1              L5_PYRAMIDAL                200     2.6812     0.0154
s1              L6_PYRAMIDAL                200     2.6805     0.0154
s1              INTERNEURONS                200     2.6789     0.0154
v1              L4_EXCITATORY               200     1.9334     0.0154
v1              L2_3_PYRAMIDAL              200     2.6788     0.0154
v1              L5_PYRAMIDAL                200     2.6796     0.0154
v1              L6_PYRAMIDAL                200     2.6781     0.0154
v1              INTERNEURONS                200     2.6803     0.0154
ca1             PYRAMIDAL_CELLS             100     0.9667     0.0154
ca1             INTERNEURONS                100     1.3373     0.0154
ca3             PYRAMIDAL_CELLS             150     1.4697     0.0155
ca3             INTERNEURONS                150     1.9852     0.0153
dentate_gyrus   GRANULE_CELLS               150     1.4494     0.0154
dentate_gyrus   INTERNEURONS                150     2.0077     0.0154
subiculum       PYRAMIDAL_CELLS             100     0.9674     0.0154
association_cortex L2_3_PYRAMIDAL              200     1.9330     0.0154
association_cortex L5_PYRAMIDAL_A              200     2.6791     0.0154
association_cortex L5_PYRAMIDAL_B              200     2.6794     0.0154
association_cortex INTERNEURONS                200     2.6763     0.0154
Intralaminar    RELAY_NEURONS                50     0.6693     0.0154
pfc             L2_3_PYRAMIDAL              200     1.9372     0.0154
pfc             L5_POLICY_A                 200     2.6772     0.0154
pfc             L5_POLICY_B                 200     2.6806     0.0154
pfc             L5_PYRAMIDAL_B              200     2.6830     0.0154
pfc             L6_PYRAMIDAL                200     2.6795     0.0154
pfc             INTERNEURONS                200     2.6796     0.0154
hypothalamus    PARAVENTRICULAR_NUCLEUS       5     0.0418     0.0154
hypothalamus    LATERAL_HYPOTHALAMUS          5     0.0670     0.0154
hypothalamus    VENTROMEDIAL_NUCLEUS          5     0.0669     0.0154
hypothalamus    SUPRACHIASMATIC_NUCLEUS       5     0.0677     0.0154
anterior_pituitary CORTICOTROPES                 1     0.0000     0.0156
anterior_pituitary THYROTROPES                   1     0.0131     0.0153
anterior_pituitary GONADOTROPES                  1     0.0134     0.0154
anterior_pituitary SOMATOTROPES                  1     0.0135     0.0154
anterior_pituitary LACTOTROPES                   1     0.0133     0.0154
posterior_pituitary OXYTOCIN_NEURONS              1     0.0000     0.0155
posterior_pituitary VASOPRESSIN_NEURONS           1     0.0135     0.0154
lgn             RELAY_CELLS                  35     0.3319     0.0154
md              RELAY_CELLS                  50     0.4847     0.0154
mgb             RELAY_CELLS                  35     0.3314     0.0154
pulvinar        RELAY_CELLS                  50     0.4833     0.0154
trn             TRN_GABA                     50    18.8416     0.4227
vpl             RELAY_CELLS                  35     0.3328     0.0154
vpl             LOCAL_INTERNEURONS           35     0.4679     0.0154
vpm             RELAY_CELLS                  35     0.3331     0.0155
--------------------------------------------------------------------------------------------------------------
last: POKE ca3 += 0.2
>
--------------------------------------------------------------------------------------------------------------
t=1.00s | view=populations | zeros=False
REGION          POPULATION                  ASM       MASS       MEAN
gpe             GPE_OUTPUT                   25    14.5219     0.6535
gpi             GPi_OUTPUT                   25    22.4549     0.8266
snc             DOPAMINERGIC_NEURONS         20     0.1949     0.0155
stn             EXCITATORY_NEURONS           25     0.2358     0.0154
striatum        D1_MSN                       50     0.4887     0.0155
striatum        D2_MSN                       50     0.6753     0.0154
striatum        INTERNEURONS                 50     0.6740     0.0154
autonomic_system SYMPATHETIC_OUTFLOW           1     0.0000     0.0156
autonomic_system PARASYMPATHETIC_OUTFLOW       1     0.0136     0.0155
locus_coeruleus NORADRENERGIC_NEURONS        10     0.0974     0.0155
raphe           SEROTONERGIC_NEURONS         10     0.0975     0.0154
vta             DOPAMINERGIC_NEURONS         20     0.1958     0.0155
vta             GABA_INTERNEURONS            20     0.2698     0.0154
cerebellar_cortex GRANULE_CELLS               300     2.9200     0.0155
cerebellar_cortex PURKINJE_CELLS              300     4.0514     0.0154
cerebellar_cortex INTERNEURONS                300     4.0481     0.0154
deep_nuclei     OUTPUT_NEURONS               50     0.4872     0.0155
a1              L4_EXCITATORY               200     1.9486     0.0155
a1              L2_3_PYRAMIDAL              200     2.7019     0.0154
a1              L6_PYRAMIDAL                200     2.7011     0.0154
a1              INTERNEURONS                200     2.7030     0.0154
insula          L2_3_PYRAMIDAL              200     1.9481     0.0155
insula          L5_PYRAMIDAL                200     2.6991     0.0154
insula          INTERNEURONS                200     2.7057     0.0154
m1              L2_3_PYRAMIDAL              200     1.9467     0.0155
m1              L5_PYRAMIDAL                200     2.6992     0.0154
m1              INTERNEURONS                200     2.7063     0.0154
s1              L4_EXCITATORY               200     1.9476     0.0155
s1              L2_3_PYRAMIDAL              200     2.7034     0.0154
s1              L5_PYRAMIDAL                200     2.7017     0.0154
s1              L6_PYRAMIDAL                200     2.7021     0.0154
s1              INTERNEURONS                200     2.7005     0.0154
v1              L4_EXCITATORY               200     1.9467     0.0155
v1              L2_3_PYRAMIDAL              200     2.6995     0.0154
v1              L5_PYRAMIDAL                200     2.6997     0.0154
v1              L6_PYRAMIDAL                200     2.6981     0.0154
v1              INTERNEURONS                200     2.7015     0.0154
ca1             PYRAMIDAL_CELLS             100     0.9729     0.0155
ca1             INTERNEURONS                100     1.3478     0.0154
ca3             PYRAMIDAL_CELLS             150     1.4786     0.0155
ca3             INTERNEURONS                150     2.0012     0.0154
dentate_gyrus   GRANULE_CELLS               150     1.4598     0.0155
dentate_gyrus   INTERNEURONS                150     2.0222     0.0154
subiculum       PYRAMIDAL_CELLS             100     0.9745     0.0155
association_cortex L2_3_PYRAMIDAL              200     1.9459     0.0155
association_cortex L5_PYRAMIDAL_A              200     2.6988     0.0154
association_cortex L5_PYRAMIDAL_B              200     2.6989     0.0154
association_cortex INTERNEURONS                200     2.6967     0.0154
Intralaminar    RELAY_NEURONS                50     0.6747     0.0154
pfc             L2_3_PYRAMIDAL              200     1.9486     0.0155
pfc             L5_POLICY_A                 200     2.6985     0.0154
pfc             L5_POLICY_B                 200     2.7016     0.0154
pfc             L5_PYRAMIDAL_B              200     2.7042     0.0154
pfc             L6_PYRAMIDAL                200     2.7002     0.0154
pfc             INTERNEURONS                200     2.7011     0.0154
hypothalamus    PARAVENTRICULAR_NUCLEUS       5     0.0421     0.0154
hypothalamus    LATERAL_HYPOTHALAMUS          5     0.0675     0.0154
hypothalamus    VENTROMEDIAL_NUCLEUS          5     0.0675     0.0154
hypothalamus    SUPRACHIASMATIC_NUCLEUS       5     0.0680     0.0155
anterior_pituitary CORTICOTROPES                 1     0.0000     0.0157
anterior_pituitary THYROTROPES                   1     0.0133     0.0153
anterior_pituitary GONADOTROPES                  1     0.0135     0.0154
anterior_pituitary SOMATOTROPES                  1     0.0136     0.0155
anterior_pituitary LACTOTROPES                   1     0.0135     0.0154
posterior_pituitary OXYTOCIN_NEURONS              1     0.0000     0.0156
posterior_pituitary VASOPRESSIN_NEURONS           1     0.0137     0.0155
lgn             RELAY_CELLS                  35     0.3346     0.0155
md              RELAY_CELLS                  50     0.4880     0.0155
mgb             RELAY_CELLS                  35     0.3336     0.0155
pulvinar        RELAY_CELLS                  50     0.4866     0.0155
trn             TRN_GABA                     50    18.9336     0.4249
vpl             RELAY_CELLS                  35     0.3352     0.0155
vpl             LOCAL_INTERNEURONS           35     0.4713     0.0154
vpm             RELAY_CELLS                  35     0.3354     0.0155
--------------------------------------------------------------------------------------------------------------
last: POKE ca3 += 0.2
>
--------------------------------------------------------------------------------------------------------------
t=1.10s | view=populations | zeros=False
REGION          POPULATION                  ASM       MASS       MEAN
gpe             GPE_OUTPUT                   25    14.6121     0.6579
gpi             GPi_OUTPUT                   25    22.6058     0.8326
snc             DOPAMINERGIC_NEURONS         20     0.1965     0.0155
stn             EXCITATORY_NEURONS           25     0.2374     0.0155
striatum        D1_MSN                       50     0.4918     0.0155
striatum        D2_MSN                       50     0.6801     0.0155
striatum        INTERNEURONS                 50     0.6787     0.0155
autonomic_system SYMPATHETIC_OUTFLOW           1     0.0000     0.0156
autonomic_system PARASYMPATHETIC_OUTFLOW       1     0.0137     0.0155
locus_coeruleus NORADRENERGIC_NEURONS        10     0.0983     0.0155
raphe           SEROTONERGIC_NEURONS         10     0.0981     0.0155
vta             DOPAMINERGIC_NEURONS         20     0.1972     0.0155
vta             GABA_INTERNEURONS            20     0.2722     0.0155
cerebellar_cortex GRANULE_CELLS               300     2.9380     0.0155
cerebellar_cortex PURKINJE_CELLS              300     4.0813     0.0155
cerebellar_cortex INTERNEURONS                300     4.0780     0.0155
deep_nuclei     OUTPUT_NEURONS               50     0.4901     0.0155
a1              L4_EXCITATORY               200     1.9617     0.0155
a1              L2_3_PYRAMIDAL              200     2.7237     0.0155
a1              L6_PYRAMIDAL                200     2.7217     0.0155
a1              INTERNEURONS                200     2.7225     0.0155
insula          L2_3_PYRAMIDAL              200     1.9616     0.0155
insula          L5_PYRAMIDAL                200     2.7189     0.0155
insula          INTERNEURONS                200     2.7264     0.0155
m1              L2_3_PYRAMIDAL              200     1.9597     0.0155
m1              L5_PYRAMIDAL                200     2.7198     0.0155
m1              INTERNEURONS                200     2.7239     0.0155
s1              L4_EXCITATORY               200     1.9611     0.0155
s1              L2_3_PYRAMIDAL              200     2.7233     0.0155
s1              L5_PYRAMIDAL                200     2.7222     0.0155
s1              L6_PYRAMIDAL                200     2.7222     0.0155
s1              INTERNEURONS                200     2.7210     0.0155
v1              L4_EXCITATORY               200     1.9591     0.0155
v1              L2_3_PYRAMIDAL              200     2.7186     0.0155
v1              L5_PYRAMIDAL                200     2.7185     0.0155
v1              L6_PYRAMIDAL                200     2.7180     0.0155
v1              INTERNEURONS                200     2.7222     0.0155
ca1             PYRAMIDAL_CELLS             100     0.9791     0.0155
ca1             INTERNEURONS                100     1.3588     0.0155
ca3             PYRAMIDAL_CELLS             150     1.4882     0.0156
ca3             INTERNEURONS                150     2.0162     0.0154
dentate_gyrus   GRANULE_CELLS               150     1.4695     0.0155
dentate_gyrus   INTERNEURONS                150     2.0384     0.0155
subiculum       PYRAMIDAL_CELLS             100     0.9806     0.0155
association_cortex L2_3_PYRAMIDAL              200     1.9580     0.0155
association_cortex L5_PYRAMIDAL_A              200     2.7194     0.0155
association_cortex L5_PYRAMIDAL_B              200     2.7178     0.0155
association_cortex INTERNEURONS                200     2.7170     0.0155
Intralaminar    RELAY_NEURONS                50     0.6805     0.0155
pfc             L2_3_PYRAMIDAL              200     1.9622     0.0155
pfc             L5_POLICY_A                 200     2.7183     0.0155
pfc             L5_POLICY_B                 200     2.7209     0.0155
pfc             L5_PYRAMIDAL_B              200     2.7234     0.0155
pfc             L6_PYRAMIDAL                200     2.7200     0.0155
pfc             INTERNEURONS                200     2.7237     0.0155
hypothalamus    PARAVENTRICULAR_NUCLEUS       5     0.0423     0.0155
hypothalamus    LATERAL_HYPOTHALAMUS          5     0.0680     0.0155
hypothalamus    VENTROMEDIAL_NUCLEUS          5     0.0679     0.0155
hypothalamus    SUPRACHIASMATIC_NUCLEUS       5     0.0684     0.0155
anterior_pituitary CORTICOTROPES                 1     0.0000     0.0157
anterior_pituitary THYROTROPES                   1     0.0133     0.0154
anterior_pituitary GONADOTROPES                  1     0.0136     0.0155
anterior_pituitary SOMATOTROPES                  1     0.0136     0.0155
anterior_pituitary LACTOTROPES                   1     0.0136     0.0155
posterior_pituitary OXYTOCIN_NEURONS              1     0.0000     0.0157
posterior_pituitary VASOPRESSIN_NEURONS           1     0.0138     0.0156
lgn             RELAY_CELLS                  35     0.3367     0.0155
md              RELAY_CELLS                  50     0.4907     0.0155
mgb             RELAY_CELLS                  35     0.3354     0.0155
pulvinar        RELAY_CELLS                  50     0.4904     0.0155
trn             TRN_GABA                     50    19.0219     0.4270
vpl             RELAY_CELLS                  35     0.3370     0.0155
vpl             LOCAL_INTERNEURONS           35     0.4753     0.0155
vpm             RELAY_CELLS                  35     0.3370     0.0155
--------------------------------------------------------------------------------------------------------------
last: POKE ca3 += 0.2
>
--------------------------------------------------------------------------------------------------------------
t=1.20s | view=populations | zeros=False
REGION          POPULATION                  ASM       MASS       MEAN
gpe             GPE_OUTPUT                   25    14.6982     0.6621
gpi             GPi_OUTPUT                   25    22.7473     0.8382
snc             DOPAMINERGIC_NEURONS         20     0.1978     0.0156
stn             EXCITATORY_NEURONS           25     0.2389     0.0155
striatum        D1_MSN                       50     0.4947     0.0156
striatum        D2_MSN                       50     0.6853     0.0155
striatum        INTERNEURONS                 50     0.6837     0.0155
autonomic_system SYMPATHETIC_OUTFLOW           1     0.0000     0.0157
autonomic_system PARASYMPATHETIC_OUTFLOW       1     0.0136     0.0155
locus_coeruleus NORADRENERGIC_NEURONS        10     0.0990     0.0156
raphe           SEROTONERGIC_NEURONS         10     0.0985     0.0155
vta             DOPAMINERGIC_NEURONS         20     0.1983     0.0156
vta             GABA_INTERNEURONS            20     0.2742     0.0155
cerebellar_cortex GRANULE_CELLS               300     2.9565     0.0156
cerebellar_cortex PURKINJE_CELLS              300     4.1113     0.0155
cerebellar_cortex INTERNEURONS                300     4.1094     0.0155
deep_nuclei     OUTPUT_NEURONS               50     0.4932     0.0156
a1              L4_EXCITATORY               200     1.9742     0.0156
a1              L2_3_PYRAMIDAL              200     2.7438     0.0155
a1              L6_PYRAMIDAL                200     2.7411     0.0155
a1              INTERNEURONS                200     2.7429     0.0155
insula          L2_3_PYRAMIDAL              200     1.9738     0.0156
insula          L5_PYRAMIDAL                200     2.7368     0.0155
insula          INTERNEURONS                200     2.7458     0.0155
m1              L2_3_PYRAMIDAL              200     1.9727     0.0156
m1              L5_PYRAMIDAL                200     2.7391     0.0155
m1              INTERNEURONS                200     2.7439     0.0155
s1              L4_EXCITATORY               200     1.9732     0.0156
s1              L2_3_PYRAMIDAL              200     2.7433     0.0155
s1              L5_PYRAMIDAL                200     2.7425     0.0155
s1              L6_PYRAMIDAL                200     2.7423     0.0155
s1              INTERNEURONS                200     2.7406     0.0155
v1              L4_EXCITATORY               200     1.9713     0.0156
v1              L2_3_PYRAMIDAL              200     2.7377     0.0155
v1              L5_PYRAMIDAL                200     2.7378     0.0155
v1              L6_PYRAMIDAL                200     2.7379     0.0155
v1              INTERNEURONS                200     2.7430     0.0155
ca1             PYRAMIDAL_CELLS             100     0.9856     0.0156
ca1             INTERNEURONS                100     1.3691     0.0155
ca3             PYRAMIDAL_CELLS             150     1.4972     0.0156
ca3             INTERNEURONS                150     2.0323     0.0155
dentate_gyrus   GRANULE_CELLS               150     1.4786     0.0156
dentate_gyrus   INTERNEURONS                150     2.0540     0.0155
subiculum       PYRAMIDAL_CELLS             100     0.9873     0.0156
association_cortex L2_3_PYRAMIDAL              200     1.9710     0.0156
association_cortex L5_PYRAMIDAL_A              200     2.7383     0.0155
association_cortex L5_PYRAMIDAL_B              200     2.7393     0.0155
association_cortex INTERNEURONS                200     2.7379     0.0155
Intralaminar    RELAY_NEURONS                50     0.6852     0.0155
pfc             L2_3_PYRAMIDAL              200     1.9745     0.0156
pfc             L5_POLICY_A                 200     2.7385     0.0155
pfc             L5_POLICY_B                 200     2.7411     0.0155
pfc             L5_PYRAMIDAL_B              200     2.7436     0.0155
pfc             L6_PYRAMIDAL                200     2.7406     0.0155
pfc             INTERNEURONS                200     2.7439     0.0155
hypothalamus    PARAVENTRICULAR_NUCLEUS       5     0.0426     0.0155
hypothalamus    LATERAL_HYPOTHALAMUS          5     0.0686     0.0155
hypothalamus    VENTROMEDIAL_NUCLEUS          5     0.0683     0.0155
hypothalamus    SUPRACHIASMATIC_NUCLEUS       5     0.0687     0.0155
anterior_pituitary CORTICOTROPES                 1     0.0000     0.0158
anterior_pituitary THYROTROPES                   1     0.0132     0.0153
anterior_pituitary GONADOTROPES                  1     0.0136     0.0155
anterior_pituitary SOMATOTROPES                  1     0.0137     0.0155
anterior_pituitary LACTOTROPES                   1     0.0137     0.0155
posterior_pituitary OXYTOCIN_NEURONS              1     0.0000     0.0157
posterior_pituitary VASOPRESSIN_NEURONS           1     0.0139     0.0156
lgn             RELAY_CELLS                  35     0.3388     0.0156
md              RELAY_CELLS                  50     0.4940     0.0156
mgb             RELAY_CELLS                  35     0.3374     0.0155
pulvinar        RELAY_CELLS                  50     0.4936     0.0156
trn             TRN_GABA                     50    19.1072     0.4291
vpl             RELAY_CELLS                  35     0.3390     0.0156
vpl             LOCAL_INTERNEURONS           35     0.4791     0.0155
vpm             RELAY_CELLS                  35     0.3395     0.0156
--------------------------------------------------------------------------------------------------------------
last: POKE ca3 += 0.2
>
--------------------------------------------------------------------------------------------------------------
t=1.30s | view=populations | zeros=False
REGION          POPULATION                  ASM       MASS       MEAN
gpe             GPE_OUTPUT                   25    14.7799     0.6662
gpi             GPi_OUTPUT                   25    22.8804     0.8435
snc             DOPAMINERGIC_NEURONS         20     0.1988     0.0156
stn             EXCITATORY_NEURONS           25     0.2403     0.0156
striatum        D1_MSN                       50     0.4974     0.0156
striatum        D2_MSN                       50     0.6905     0.0156
striatum        INTERNEURONS                 50     0.6883     0.0155
autonomic_system SYMPATHETIC_OUTFLOW           1     0.0000     0.0158
autonomic_system PARASYMPATHETIC_OUTFLOW       1     0.0137     0.0155
locus_coeruleus NORADRENERGIC_NEURONS        10     0.0993     0.0156
raphe           SEROTONERGIC_NEURONS         10     0.0992     0.0156
vta             DOPAMINERGIC_NEURONS         20     0.1996     0.0156
vta             GABA_INTERNEURONS            20     0.2766     0.0156
cerebellar_cortex GRANULE_CELLS               300     2.9761     0.0156
cerebellar_cortex PURKINJE_CELLS              300     4.1423     0.0156
cerebellar_cortex INTERNEURONS                300     4.1380     0.0156
deep_nuclei     OUTPUT_NEURONS               50     0.4961     0.0156
a1              L4_EXCITATORY               200     1.9865     0.0156
a1              L2_3_PYRAMIDAL              200     2.7634     0.0156
a1              L6_PYRAMIDAL                200     2.7605     0.0156
a1              INTERNEURONS                200     2.7621     0.0156
insula          L2_3_PYRAMIDAL              200     1.9866     0.0156
insula          L5_PYRAMIDAL                200     2.7568     0.0155
insula          INTERNEURONS                200     2.7648     0.0156
m1              L2_3_PYRAMIDAL              200     1.9853     0.0156
m1              L5_PYRAMIDAL                200     2.7585     0.0156
m1              INTERNEURONS                200     2.7629     0.0156
s1              L4_EXCITATORY               200     1.9861     0.0156
s1              L2_3_PYRAMIDAL              200     2.7625     0.0156
s1              L5_PYRAMIDAL                200     2.7620     0.0156
s1              L6_PYRAMIDAL                200     2.7617     0.0156
s1              INTERNEURONS                200     2.7615     0.0156
v1              L4_EXCITATORY               200     1.9843     0.0156
v1              L2_3_PYRAMIDAL              200     2.7576     0.0155
v1              L5_PYRAMIDAL                200     2.7575     0.0155
v1              L6_PYRAMIDAL                200     2.7573     0.0155
v1              INTERNEURONS                200     2.7630     0.0156
ca1             PYRAMIDAL_CELLS             100     0.9919     0.0156
ca1             INTERNEURONS                100     1.3791     0.0156
ca3             PYRAMIDAL_CELLS             150     1.5069     0.0157
ca3             INTERNEURONS                150     2.0470     0.0155
dentate_gyrus   GRANULE_CELLS               150     1.4884     0.0156
dentate_gyrus   INTERNEURONS                150     2.0693     0.0156
subiculum       PYRAMIDAL_CELLS             100     0.9935     0.0156
association_cortex L2_3_PYRAMIDAL              200     1.9825     0.0156
association_cortex L5_PYRAMIDAL_A              200     2.7579     0.0156
association_cortex L5_PYRAMIDAL_B              200     2.7594     0.0156
association_cortex INTERNEURONS                200     2.7580     0.0156
Intralaminar    RELAY_NEURONS                50     0.6907     0.0156
pfc             L2_3_PYRAMIDAL              200     1.9864     0.0156
pfc             L5_POLICY_A                 200     2.7586     0.0156
pfc             L5_POLICY_B                 200     2.7593     0.0156
pfc             L5_PYRAMIDAL_B              200     2.7635     0.0156
pfc             L6_PYRAMIDAL                200     2.7591     0.0156
pfc             INTERNEURONS                200     2.7626     0.0156
hypothalamus    PARAVENTRICULAR_NUCLEUS       5     0.0429     0.0156
hypothalamus    LATERAL_HYPOTHALAMUS          5     0.0690     0.0156
hypothalamus    VENTROMEDIAL_NUCLEUS          5     0.0690     0.0156
hypothalamus    SUPRACHIASMATIC_NUCLEUS       5     0.0693     0.0156
anterior_pituitary CORTICOTROPES                 1     0.0000     0.0158
anterior_pituitary THYROTROPES                   1     0.0134     0.0154
anterior_pituitary GONADOTROPES                  1     0.0137     0.0155
anterior_pituitary SOMATOTROPES                  1     0.0138     0.0156
anterior_pituitary LACTOTROPES                   1     0.0138     0.0156
posterior_pituitary OXYTOCIN_NEURONS              1     0.0000     0.0158
posterior_pituitary VASOPRESSIN_NEURONS           1     0.0140     0.0157
lgn             RELAY_CELLS                  35     0.3410     0.0156
md              RELAY_CELLS                  50     0.4969     0.0156
mgb             RELAY_CELLS                  35     0.3391     0.0156
pulvinar        RELAY_CELLS                  50     0.4965     0.0156
trn             TRN_GABA                     50    19.1890     0.4310
vpl             RELAY_CELLS                  35     0.3407     0.0156
vpl             LOCAL_INTERNEURONS           35     0.4830     0.0156
vpm             RELAY_CELLS                  35     0.3417     0.0156
--------------------------------------------------------------------------------------------------------------
last: POKE ca3 += 0.2
>
--------------------------------------------------------------------------------------------------------------
t=1.40s | view=populations | zeros=False
REGION          POPULATION                  ASM       MASS       MEAN
gpe             GPE_OUTPUT                   25    14.8577     0.6700
gpi             GPi_OUTPUT                   25    23.0047     0.8484
snc             DOPAMINERGIC_NEURONS         20     0.1998     0.0157
stn             EXCITATORY_NEURONS           25     0.2419     0.0156
striatum        D1_MSN                       50     0.5001     0.0157
striatum        D2_MSN                       50     0.6951     0.0156
striatum        INTERNEURONS                 50     0.6933     0.0156
autonomic_system SYMPATHETIC_OUTFLOW           1     0.0000     0.0159
autonomic_system PARASYMPATHETIC_OUTFLOW       1     0.0136     0.0155
locus_coeruleus NORADRENERGIC_NEURONS        10     0.0999     0.0156
raphe           SEROTONERGIC_NEURONS         10     0.0999     0.0156
vta             DOPAMINERGIC_NEURONS         20     0.2007     0.0157
vta             GABA_INTERNEURONS            20     0.2784     0.0156
cerebellar_cortex GRANULE_CELLS               300     2.9956     0.0156
cerebellar_cortex PURKINJE_CELLS              300     4.1730     0.0156
cerebellar_cortex INTERNEURONS                300     4.1678     0.0156
deep_nuclei     OUTPUT_NEURONS               50     0.4993     0.0157
a1              L4_EXCITATORY               200     1.9993     0.0156
a1              L2_3_PYRAMIDAL              200     2.7830     0.0156
a1              L6_PYRAMIDAL                200     2.7793     0.0156
a1              INTERNEURONS                200     2.7812     0.0156
insula          L2_3_PYRAMIDAL              200     1.9990     0.0156
insula          L5_PYRAMIDAL                200     2.7773     0.0156
insula          INTERNEURONS                200     2.7839     0.0156
m1              L2_3_PYRAMIDAL              200     1.9981     0.0157
m1              L5_PYRAMIDAL                200     2.7779     0.0156
m1              INTERNEURONS                200     2.7826     0.0156
s1              L4_EXCITATORY               200     1.9971     0.0156
s1              L2_3_PYRAMIDAL              200     2.7824     0.0156
s1              L5_PYRAMIDAL                200     2.7817     0.0156
s1              L6_PYRAMIDAL                200     2.7803     0.0156
s1              INTERNEURONS                200     2.7805     0.0156
v1              L4_EXCITATORY               200     1.9967     0.0156
v1              L2_3_PYRAMIDAL              200     2.7769     0.0156
v1              L5_PYRAMIDAL                200     2.7754     0.0156
v1              L6_PYRAMIDAL                200     2.7788     0.0156
v1              INTERNEURONS                200     2.7821     0.0156
ca1             PYRAMIDAL_CELLS             100     0.9977     0.0156
ca1             INTERNEURONS                100     1.3886     0.0156
ca3             PYRAMIDAL_CELLS             150     1.5155     0.0157
ca3             INTERNEURONS                150     2.0629     0.0155
dentate_gyrus   GRANULE_CELLS               150     1.4986     0.0156
dentate_gyrus   INTERNEURONS                150     2.0825     0.0156
subiculum       PYRAMIDAL_CELLS             100     1.0002     0.0156
association_cortex L2_3_PYRAMIDAL              200     1.9946     0.0156
association_cortex L5_PYRAMIDAL_A              200     2.7779     0.0156
association_cortex L5_PYRAMIDAL_B              200     2.7775     0.0156
association_cortex INTERNEURONS                200     2.7759     0.0156
Intralaminar    RELAY_NEURONS                50     0.6954     0.0156
pfc             L2_3_PYRAMIDAL              200     1.9981     0.0156
pfc             L5_POLICY_A                 200     2.7781     0.0156
pfc             L5_POLICY_B                 200     2.7783     0.0156
pfc             L5_PYRAMIDAL_B              200     2.7828     0.0156
pfc             L6_PYRAMIDAL                200     2.7778     0.0156
pfc             INTERNEURONS                200     2.7814     0.0156
hypothalamus    PARAVENTRICULAR_NUCLEUS       5     0.0431     0.0156
hypothalamus    LATERAL_HYPOTHALAMUS          5     0.0693     0.0156
hypothalamus    VENTROMEDIAL_NUCLEUS          5     0.0693     0.0156
hypothalamus    SUPRACHIASMATIC_NUCLEUS       5     0.0698     0.0156
anterior_pituitary CORTICOTROPES                 1     0.0000     0.0159
anterior_pituitary THYROTROPES                   1     0.0134     0.0154
anterior_pituitary GONADOTROPES                  1     0.0138     0.0155
anterior_pituitary SOMATOTROPES                  1     0.0140     0.0156
anterior_pituitary LACTOTROPES                   1     0.0139     0.0156
posterior_pituitary OXYTOCIN_NEURONS              1     0.0000     0.0158
posterior_pituitary VASOPRESSIN_NEURONS           1     0.0141     0.0157
lgn             RELAY_CELLS                  35     0.3433     0.0157
md              RELAY_CELLS                  50     0.4999     0.0156
mgb             RELAY_CELLS                  35     0.3414     0.0156
pulvinar        RELAY_CELLS                  50     0.4997     0.0156
trn             TRN_GABA                     50    19.2663     0.4329
vpl             RELAY_CELLS                  35     0.3427     0.0156
vpl             LOCAL_INTERNEURONS           35     0.4864     0.0156
vpm             RELAY_CELLS                  35     0.3439     0.0157
--------------------------------------------------------------------------------------------------------------
last: POKE ca3 += 0.2
>
--------------------------------------------------------------------------------------------------------------
t=1.50s | view=populations | zeros=False
REGION          POPULATION                  ASM       MASS       MEAN
gpe             GPE_OUTPUT                   25    14.9303     0.6735
gpi             GPi_OUTPUT                   25    23.1197     0.8529
snc             DOPAMINERGIC_NEURONS         20     0.2009     0.0157
stn             EXCITATORY_NEURONS           25     0.2437     0.0157
striatum        D1_MSN                       50     0.5027     0.0157
striatum        D2_MSN                       50     0.7000     0.0156
striatum        INTERNEURONS                 50     0.6984     0.0156
autonomic_system SYMPATHETIC_OUTFLOW           1     0.0000     0.0159
autonomic_system PARASYMPATHETIC_OUTFLOW       1     0.0137     0.0155
locus_coeruleus NORADRENERGIC_NEURONS        10     0.1005     0.0157
raphe           SEROTONERGIC_NEURONS         10     0.1006     0.0156
vta             DOPAMINERGIC_NEURONS         20     0.2022     0.0157
vta             GABA_INTERNEURONS            20     0.2806     0.0156
cerebellar_cortex GRANULE_CELLS               300     3.0132     0.0157
cerebellar_cortex PURKINJE_CELLS              300     4.2024     0.0156
cerebellar_cortex INTERNEURONS                300     4.1971     0.0156
deep_nuclei     OUTPUT_NEURONS               50     0.5022     0.0157
a1              L4_EXCITATORY               200     2.0121     0.0157
a1              L2_3_PYRAMIDAL              200     2.8019     0.0156
a1              L6_PYRAMIDAL                200     2.7967     0.0156
a1              INTERNEURONS                200     2.8003     0.0156
insula          L2_3_PYRAMIDAL              200     2.0105     0.0157
insula          L5_PYRAMIDAL                200     2.7953     0.0156
insula          INTERNEURONS                200     2.8018     0.0156
